%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
211812000000,3115,211736000000,map,2.3512491953652503,-5.9918524409886205,0.06710427153877352
211832000000,3116,211804000000,map,2.367280947386405,-5.9541477461967425,0.08689486006295816
211936000000,3117,211868000000,map,2.3548361100861586,-5.951262675710826,0.08911680892078022
212008000000,3118,211936000000,map,2.313569205755785,-5.979837915846973,0.07486135953898232
212076000000,3119,212004000000,map,2.2984511039838114,-5.9738778706208215,0.07743594467181275
212160000000,3120,212068000000,map,2.2850971584005744,-5.969667046014315,0.08091779079045752
212248000000,3121,212136000000,map,2.241029644428912,-5.999877492995239,0.06421685126903054
212316000000,3122,212204000000,map,2.2574354328891655,-5.958999614532055,0.08627169132043411
212344000000,3123,212268000000,map,2.242679825771235,-5.953869840490219,0.08868659106829468
212368000000,3124,212336000000,map,2.2306969255211078,-5.949958847737676,0.0916131306139199
212468000000,3125,212404000000,map,2.18261704959041,-5.976822409860484,0.07887403857601971
212536000000,3126,212468000000,map,2.168287790386529,-5.972260517973372,0.07983282645715656
212604000000,3127,212536000000,map,2.1540735163211484,-5.96842256712438,0.08098622746332623
212632000000,3128,212604000000,map,2.136225707926676,-5.963501983148384,0.08339134582109009
212744000000,3129,212668000000,map,2.08540024369263,-5.99570156139125,0.06695148693832675
212808000000,3130,212736000000,map,2.107955231043385,-5.957668968428024,0.09093186807296844
212880000000,3131,212804000000,map,2.0541558404387597,-5.984517543960698,0.07466136181269123
212936000000,3132,212868000000,map,2.041447602322757,-5.980681427914363,0.08197509646600804
213020000000,3133,212936000000,map,2.0275793371535418,-5.975118126826396,0.08371268316954744
213072000000,3134,213004000000,map,2.0109999191879995,-5.969294069027918,0.08451818554664958
213168000000,3135,213068000000,map,1.9942810692955637,-5.966709779062484,0.08619329214962368
213196000000,3136,213136000000,map,1.935955575381597,-5.997793603147287,0.068823861968284
213284000000,3137,213204000000,map,1.9633977325786058,-5.960251081405183,0.09089950213130543
213348000000,3138,213268000000,map,1.9466103968693498,-5.958463672115944,0.09185544265826184
